Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
26-02-2025,AQS,360050110,1,28.8,ppb,26,IS 52,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
27-02-2025,AQS,360050110,1,48.5,ppb,45,IS 52,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
28-02-2025,AQS,360050110,1,27.5,ppb,25,IS 52,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
01-03-2025,AQS,360050110,1,41.5,ppb,39,IS 52,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
02-03-2025,AQS,360050110,1,9.7,ppb,8,IS 52,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
03-03-2025,AQS,360050110,1,39,ppb,37,IS 52,23,96,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
04-03-2025,AQS,360050110,1,39.9,ppb,37,IS 52,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
05-03-2025,AQS,360050110,1,35.7,ppb,33,IS 52,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
06-03-2025,AQS,360050110,1,33.8,ppb,31,IS 52,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
07-03-2025,AQS,360050110,1,19.3,ppb,18,IS 52,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
08-03-2025,AQS,360050110,1,19.8,ppb,18,IS 52,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
09-03-2025,AQS,360050110,1,26.8,ppb,25,IS 52,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
10-03-2025,AQS,360050110,1,49.6,ppb,46,IS 52,19,79,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
11-03-2025,AQS,360050110,1,60.5,ppb,57,IS 52,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
12-03-2025,AQS,360050110,1,32.7,ppb,30,IS 52,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
13-03-2025,AQS,360050110,1,24.9,ppb,23,IS 52,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
14-03-2025,AQS,360050110,1,33.6,ppb,31,IS 52,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
15-03-2025,AQS,360050110,1,25.5,ppb,24,IS 52,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
16-03-2025,AQS,360050110,1,33,ppb,31,IS 52,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
17-03-2025,AQS,360050110,1,53.5,ppb,50,IS 52,23,96,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
18-03-2025,AQS,360050110,1,50.5,ppb,47,IS 52,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
19-03-2025,AQS,360050110,1,48.3,ppb,45,IS 52,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
20-03-2025,AQS,360050110,1,27.8,ppb,25,IS 52,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
21-03-2025,AQS,360050110,1,17,ppb,16,IS 52,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
22-03-2025,AQS,360050110,1,47.1,ppb,44,IS 52,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
23-03-2025,AQS,360050110,1,18.7,ppb,17,IS 52,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
24-03-2025,AQS,360050110,1,47,ppb,44,IS 52,19,79,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
25-03-2025,AQS,360050110,1,25.5,ppb,24,IS 52,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
26-03-2025,AQS,360050110,1,23.2,ppb,22,IS 52,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
27-03-2025,AQS,360050110,1,23.8,ppb,22,IS 52,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
28-03-2025,AQS,360050110,1,52,ppb,49,IS 52,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
29-03-2025,AQS,360050110,1,50.1,ppb,47,IS 52,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
